Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2016-02-22 07:57:09,Other,,5.86,13:10,2:15,26.67,236.0,34.56,,"507",2016-02-22-0757.gpx
2016-02-19 14:42:45,Other,,5.90,17:48,3:01,19.88,287.0,33.63,,"508",2016-02-19-1442.gpx
2016-02-19 08:48:04,Other,,5.85,14:41,2:31,23.89,237.0,33.92,,"511",2016-02-19-0848.gpx
2016-02-18 17:46:15,Other,,5.88,14:42,2:30,23.99,261.0,34.00,,"519",2016-02-18-1746.gpx
2016-02-18 08:52:04,Other,,5.88,12:45,2:10,27.61,226.0,30.64,,"503",2016-02-18-0852.gpx
2016-02-16 16:52:15,Other,,5.85,14:54,2:33,23.52,266.0,34.50,,"509",2016-02-16-1652.gpx
2016-02-16 07:55:29,Other,,5.93,12:56,2:11,27.48,232.0,12.00,,"507",2016-02-16-0755.gpx
2016-02-15 17:44:18,Other,,5.87,17:13,2:56,20.43,287.0,37.66,,"519",2016-02-15-1744.gpx
2016-02-15 08:25:19,Other,,5.87,13:04,2:14,26.90,231.0,29.29,,"509",2016-02-15-0825.gpx
2016-02-12 15:34:48,Other,,5.98,15:26,2:35,23.22,270.0,30.97,,"516",2016-02-12-1534.gpx
2016-02-12 08:37:53,Other,,5.85,13:29,2:18,26.01,240.0,33.20,,"511",2016-02-12-0837.gpx
2016-02-11 18:14:11,Other,,5.87,17:19,2:57,20.31,284.0,36.09,,"516

Was 505 in Evanston. Shift change.",2016-02-11-1814.gpx
2016-02-11 07:45:11,Other,,5.85,12:53,2:12,27.22,228.0,12.27,,"506",2016-02-11-0745.gpx
2016-02-09 17:33:25,Other,,5.84,15:15,2:37,22.96,269.0,35.19,,"513",2016-02-09-1733.gpx
2016-02-09 07:59:20,Other,,5.85,13:19,2:17,26.34,229.0,30.41,,"507",2016-02-09-0759.gpx
2016-02-08 17:35:22,Other,,5.86,18:05,3:05,19.42,287.0,34.65,,"513",2016-02-08-1735.gpx
2016-02-08 07:44:26,Other,,5.85,13:33,2:19,25.87,230.0,12.09,,"506",2016-02-08-0744.gpx
2016-02-04 18:44:03,Other,,5.87,15:03,2:34,23.38,270.0,34.13,,"518",2016-02-04-1844.gpx
2016-02-04 08:50:29,Other,,5.83,12:50,2:12,27.20,223.0,31.65,,"503

Was 16 seconds late (ran to the train), so let it run for 16 seconds at the end.",2016-02-04-0850.gpx
2016-02-03 17:56:45,Other,,5.93,15:45,2:39,22.57,270.0,34.02,,"520",2016-02-03-1756.gpx
2016-02-03 07:38:35,Other,,5.84,14:10,2:26,24.72,232.0,12.09,,"506",2016-02-03-0738.gpx
2016-02-02 17:23:12,Other,,6.00,15:31,2:35,23.18,260.0,33.02,,"517",2016-02-02-1723.gpx
2016-02-02 08:32:29,Other,,5.97,14:20,2:24,24.96,226.0,28.47,,"510",2016-02-02-0832.gpx
2016-02-01 18:32:49,Other,,5.87,15:26,2:38,22.78,273.0,35.27,,"515",2016-02-01-1832.gpx
2016-02-01 09:54:26,Other,,5.83,12:52,2:13,27.14,226.0,27.61,,"506",2016-02-01-0954.gpx
2016-01-29 15:58:16,Other,,5.87,17:06,2:55,20.56,285.0,34.65,,"505",2016-01-29-1558.gpx
2016-01-29 08:38:39,Other,,5.87,12:37,2:09,27.91,228.0,28.56,,"511",2016-01-29-0838.gpx
2016-01-28 17:44:54,Other,,5.85,14:25,2:28,24.32,256.0,33.75,,"519",2016-01-28-1744.gpx
2016-01-28 08:15:39,Other,,5.89,12:52,2:11,27.43,227.0,30.12,,"508",2016-01-28-0815.gpx
